f1_note_count,f2_pitch_mean,f3_pitch_std,f4_pitch_range,f5_unique_pitches,f6_unique_pitch_classes,f7_pitch_class_entropy,f8_most_common_pc_ratio,f9_high_pitch_ratio,f10_low_pitch_ratio,f16_dur_mean,f17_dur_std,f18_dur_max,f19_ioi_mean,f20_ioi_std,f21_note_density,f22_staccato_ratio,f23_legato_ratio,f24_interval_mean,f25_interval_std,f26_interval_max,f27_unison_ratio,f28_stepwise_ratio,f29_leap_ratio,f30_octave_leap_ratio,f31_pitch_skew,f32_pitch_kurt,f33_dur_skew,f34_ioi_skew,f35_pc_0_ratio,f36_pc_1_ratio,f37_pc_2_ratio,f38_pc_3_ratio,f39_pc_4_ratio,f40_pc_5_ratio,f41_pc_6_ratio,f42_pc_7_ratio,f43_pc_8_ratio,f44_pc_9_ratio,f45_pc_10_ratio,f46_pc_11_ratio,f47_simultaneity_mean,f48_simultaneity_max,f49_single_note_ratio,f50_thick_chord_ratio,f51_offbeat_ratio,f52_minor3rd_ratio,f53_major3rd_ratio,f54_perfect4th_ratio,f55_tritone_ratio,f56_perfect5th_ratio,f57_minor6th_ratio,f58_major6th_ratio,f59_minor7th_ratio,f60_major7th_ratio,filename,composer,tt_mean,tt_std,tt_entropy,hc_mean,hc_std,hc_entropy,pt_mean,pt_std,pt_entropy,mc_mean,mc_std,mc_entropy
1468,62.165531335149865,12.637332131814098,66,62,12,3.327886415899436,0.1723433242506812,0.2118528610354223,0.1539509536784741,0.8514418710263396,0.8429275154322904,4.5,0.1963190184049079,0.2910452664799468,5.097204523595405,0.4645776566757493,0.1464577656675749,11.922290388548058,10.041534097141678,64,0.0272665303340149,0.0293115201090661,0.7580095432856169,0.136332651670075,-0.4626138625124122,-0.3549870187653146,1.8051477226049144,4.759309958188341,0.0987738419618528,0.0544959128065395,0.0395095367847411,0.0667574931880109,0.1723433242506812,0.0388283378746594,0.0756130790190735,0.023841961852861,0.1369209809264305,0.106267029972752,0.0252043596730245,0.1614441416893733,1.8056580565805656,7,0.6002460024600246,0.1205412054120541,0.5068119891008175,0.1002044989775051,0.0852079072937968,0.0627130197682345,0.0538513974096796,0.0729379686434901,0.0497614178595773,0.0722563053851397,0.0136332651670074,0.0061349693251533,lc5155459.mxl,Johannes Brahms,0.4636205115799928,0.3516456990925354,5.565504683648645,0.3686800594435065,0.1349659359958146,5.901065997782383,2.1301369863013697,1.709216349436185,6.030416753927913,0.0175,0.9204312847790432,5.859002581722356
1275,60.692549019607846,10.593060222383713,57,44,12,3.2015306500971445,0.2313725490196078,0.1349019607843137,0.1192156862745098,0.5190196078431373,0.3905514196366957,3.0,0.1350078492935635,0.1950029516907661,7.412747600304649,0.4501960784313725,0.0235294117647058,10.936420722135008,8.285044027385053,48,0.0423861852433281,0.0400313971742543,0.728414442700157,0.1028257456828885,0.2636148946512548,-0.4054868926067936,2.720897210088595,2.542005538744479,0.1098039215686274,0.0549019607843137,0.0352941176470588,0.0156862745098039,0.2313725490196078,0.0823529411764705,0.0509803921568627,0.0376470588235294,0.0847058823529411,0.1874509803921568,0.0180392156862745,0.0917647058823529,2.3654916512059367,6,0.4656771799628942,0.3116883116883117,0.5137254901960784,0.0855572998430141,0.1036106750392464,0.0690737833594976,0.021193092621664,0.0879120879120879,0.0612244897959183,0.0502354788069073,0.010204081632653,0.0086342229199372,lc5636215.mxl,Johannes Brahms,0.7226267542331506,0.1179429893647392,5.051019451366199,0.3467169251250715,0.1127402971245296,5.083480062382196,3.2385057471264367,1.9704746080580315,5.631858893563075,-0.1091954022988505,1.2432005584315864,4.873101311646759
1867,73.57096946973755,10.314065116699933,62,45,12,3.376799906100624,0.1853240492769148,0.5790037493304767,0.0342795929298339,0.5076772004999107,0.4038059605457471,3.0,0.111825652018578,0.2023834438014733,8.947241466893928,0.7579003749330476,0.0337439742903053,8.69989281886388,8.967726461470706,55,0.055198285101822,0.0616291532690246,0.5476956055734191,0.0760986066452304,-1.3835586546600165,3.343886778894107,2.971682740632,2.397949712060011,0.0749866095340117,0.1060524906266738,0.0401713979646491,0.1215854311730048,0.0846277450455275,0.0862346009641135,0.02785216925549,0.0562399571505088,0.1853240492769148,0.0176754151044456,0.1140867702196036,0.0851633636850562,3.400728597449909,8,0.0947176684881603,0.5865209471766849,0.5715050883770755,0.1848874598070739,0.1505894962486602,0.107717041800643,0.0289389067524115,0.0412647374062165,0.0278670953912111,0.0359056806002143,0.0139335476956055,0.0032154340836012,lc5639135.mxl,Johannes Brahms,0.6869684406194049,0.2100677550375168,5.26492057370909,0.3930974654285377,0.108563503566422,5.301684754435797,3.992822966507177,2.352326787067806,5.823768004750842,0.0861244019138756,0.9394332017259264,5.231689018374308
984,66.47459349593495,10.34630864013977,56,45,12,3.2064318338874087,0.2042682926829268,0.3140243902439024,0.056910569105691,0.4935636856368563,0.5174117289489929,3.0,0.1495422177009155,0.1531592056764813,6.693832014748199,0.6707317073170732,0.024390243902439,8.2970498474059,6.58779517085812,43,0.0264496439471007,0.051881993896236,0.6998982706002035,0.108850457782299,-0.8347496552504516,0.9352631262601228,3.1176651840947622,1.670316347185577,0.024390243902439,0.1504065040650406,0.1229674796747967,0.0213414634146341,0.0528455284552845,0.0467479674796747,0.2042682926829268,0.0335365853658536,0.0680894308943089,0.1859756097560975,0.032520325203252,0.056910569105691,1.7989031078610602,8,0.5521023765996343,0.0804387568555758,0.6778455284552846,0.138351983723296,0.0834181078331637,0.1098677517802644,0.0935910478128179,0.074262461851475,0.0610376398779247,0.0793489318413021,0.0142421159715157,0.0122075279755849,lc5649214.mxl,Johannes Brahms,0.4844465556383032,0.3369976129233412,5.0075387670480485,0.2578808858118236,0.1714729282698424,5.0450948501615045,2.550925925925926,1.7865752137855917,5.114040126938974,-0.0416666666666666,0.8405933750763339,5.256549377705026
1312,62.43064024390244,9.782532040666828,48,44,12,3.094865669592328,0.2568597560975609,0.1379573170731707,0.080030487804878,0.4858993902439024,0.4581279333246458,3.0,0.1491228070175438,0.1954799901934561,6.710963115278182,0.5754573170731707,0.03125,9.731502669717774,8.09221683204657,40,0.0854309687261632,0.0236460717009916,0.6544622425629291,0.1540808543096872,-0.4477627825564521,-0.3852917960178925,3.2140954794690586,5.034632439419687,0.1844512195121951,0.0373475609756097,0.0213414634146341,0.0251524390243902,0.2568597560975609,0.0381097560975609,0.0259146341463414,0.1196646341463414,0.0396341463414634,0.0815548780487804,0.0304878048780487,0.1394817073170731,1.898697539797395,8,0.5991316931982634,0.1649782923299566,0.6646341463414634,0.1388253241800152,0.0976353928299008,0.068649885583524,0.022883295194508,0.0831426392067124,0.0320366132723112,0.034324942791762,0.0122044241037376,0.0,lc5652206.mxl,Johannes Brahms,0.4402382632302388,0.3475124773375028,5.200423067769886,0.3047794518427028,0.1623811004087819,5.4404140551634335,2.501766784452297,1.5758211910543276,5.417011156874651,0.0035335689045936,0.7997271319783049,5.550540463380217
719,66.24200278164116,11.59275896941452,52,40,11,2.860639727004999,0.3004172461752434,0.3310152990264255,0.1168289290681502,1.025730180806676,0.5780813207745767,3.0,0.1803621169916434,0.2900223453344413,5.5520806789136765,0.0,0.1543810848400556,11.23816155988858,9.820128437318449,48,0.043175487465181,0.0557103064066852,0.7228412256267409,0.1462395543175487,-0.9693273475436076,0.0340793720481795,1.6491672073308818,1.3693369291449364,0.1098748261474269,0.0041724617524339,0.0806675938803894,0.0,0.3004172461752434,0.0528511821974965,0.0305980528511821,0.0764951321279554,0.0347705146036161,0.1905424200278164,0.0013908205841446,0.1182197496522948,3.2387387387387387,7,0.045045045045045,0.2297297297297297,0.4895688456189151,0.0793871866295264,0.0988857938718663,0.0807799442896936,0.0041782729805013,0.1155988857938718,0.0626740947075208,0.0389972144846796,0.0403899721448468,0.0027855153203342,lc5652250.mxl,Johannes Brahms,0.4457186323591943,0.3392038344233875,4.459332518927843,0.4034637505589897,0.1421899369602552,4.797790075827339,2.465909090909091,1.509682364015817,5.324238382142692,-0.0075757575757575,0.980848520424212,4.748470304735041
871,62.18254879448909,11.715532524988353,62,52,12,3.099034887392092,0.2491389207807118,0.2709529276693456,0.1435132032146957,0.4772292384232682,0.4689199086539744,4.0,0.096551724137931,0.2277820473999586,10.368924179474051,0.7359357060849598,0.0229621125143513,8.814942528735632,8.98704084544054,41,0.0551724137931034,0.0747126436781609,0.532183908045977,0.0689655172413793,-0.1865545120076424,-0.8002006616067039,4.416191436106827,8.317153477349995,0.0034443168771526,0.0780711825487944,0.1377726750861079,0.0700344431687715,0.0574052812858783,0.0321469575200918,0.2491389207807118,0.0241102181400688,0.0574052812858783,0.0597014925373134,0.0298507462686567,0.200918484500574,3.497991967871486,9,0.0682730923694779,0.3654618473895582,0.9138920780711826,0.1620689655172413,0.1758620689655172,0.0862068965517241,0.0448275862068965,0.060919540229885,0.0275862068965517,0.0344827586206896,0.0080459770114942,0.0034482758620689,lc5653497.mxl,Johannes Brahms,0.673618610476871,0.2535404771316116,4.328861467164784,0.4212222222337108,0.124339194516291,4.375371630534742,4.65680473372781,2.83061733973373,4.90653302622265,0.1058823529411764,0.982476216287669,4.317934026606881
897,58.8561872909699,11.295486424094154,48,32,10,2.713610505025567,0.2775919732441471,0.0468227424749163,0.1906354515050167,0.721850613154961,0.3715821246271588,2.0,0.1774553571428571,0.2415643728311379,5.641473952994006,0.0,0.0055741360089186,12.329241071428571,9.128294041199531,39,0.0412946428571428,0.0714285714285714,0.7522321428571429,0.1216517857142857,-0.5773539342388538,-0.8203215742532497,1.3912303223758693,0.6657494554446295,0.1884057971014492,0.0022296544035674,0.0891861761426978,0.0022296544035674,0.0568561872909698,0.2775919732441471,0.0,0.1159420289855072,0.0,0.1505016722408027,0.112597547380156,0.0044593088071348,2.829652996845426,6,0.1482649842271293,0.2492113564668769,0.496098104793757,0.0658482142857142,0.0691964285714285,0.0535714285714285,0.0145089285714285,0.0926339285714285,0.0323660714285714,0.0368303571428571,0.0178571428571428,0.0055803571428571,lc5654342.mxl,Johannes Brahms,0.6329221730354528,0.2394678998145484,4.317938254117219,0.3444404311128832,0.1363809080728545,4.312959614361508,1.903030303030303,0.8823126802604578,4.992568193197382,-0.2771084337349397,1.111963995820531,4.139727326699467
534,59.558052434456926,12.725840029117483,48,28,9,2.611250073211715,0.3220973782771535,0.1872659176029962,0.2434456928838951,0.8801498127340824,0.5689032552954261,2.0,0.2213883677298311,0.3074319357788571,4.525385378090016,0.2247191011235955,0.1573033707865168,12.932457786116323,10.11079044648443,48,0.0469043151969981,0.0262664165103189,0.8067542213883677,0.1407129455909943,-0.409069013581868,-0.8907939541860639,0.8333249909711851,1.2596425991873923,0.0786516853932584,0.0,0.1235955056179775,0.0823970037453183,0.0224719101123595,0.2434456928838951,0.0,0.0898876404494382,0.0037453183520599,0.0337078651685393,0.3220973782771535,0.0,2.282051282051282,6,0.5299145299145299,0.2393162393162393,0.2172284644194756,0.0675422138836773,0.0525328330206379,0.0919324577861163,0.0225140712945591,0.0863039399624765,0.024390243902439,0.0675422138836773,0.0337711069418386,0.0056285178236397,lc5654485.mxl,Johannes Brahms,0.6749970746732175,0.1704339666975032,4.052912158134948,0.3225103474946895,0.1194038800401232,4.00420805976233,1.925,2.1219586078275263,4.028180747396215,0.0,1.3038404810405295,3.793754935928652
1211,61.720891824938064,11.540173660863934,64,52,12,3.0746629333818425,0.1924029727497935,0.1709331131296449,0.1304706853839801,0.8431048720066061,0.6274020238165182,4.5,0.2318181818181818,0.2600858091076357,4.3172751612293725,0.0,0.0553261767134599,11.788429752066117,10.76878861702295,64,0.0694214876033057,0.040495867768595,0.6661157024793388,0.1066115702479338,-0.9141812259435976,0.3484399049327238,2.663361283623377,0.5770530174386115,0.0784475639966969,0.189925681255161,0.0066061106523534,0.0966143682906688,0.0181668042939719,0.1725846407927332,0.0867052023121387,0.0239471511147811,0.1924029727497935,0.0272502064409578,0.1007431874483897,0.0066061106523534,2.135802469135802,6,0.492063492063492,0.2081128747795414,0.5161023947151114,0.1314049586776859,0.0925619834710743,0.0479338842975206,0.0206611570247933,0.0462809917355371,0.0495867768595041,0.0586776859504132,0.0223140495867768,0.0033057851239669,lc5656522.mxl,Johannes Brahms,0.3226084146647481,0.3446515324241434,5.623713176399466,0.3392608142570961,0.1271658906480151,6.242420226551332,1.938271604938272,1.2002641582949762,6.145774999128772,0.0035273368606701,0.7200736604078709,6.259827161714986
