f1_note_count,f2_pitch_mean,f3_pitch_std,f4_pitch_range,f5_unique_pitches,f6_unique_pitch_classes,f7_pitch_class_entropy,f8_most_common_pc_ratio,f9_high_pitch_ratio,f10_low_pitch_ratio,f11_vel_mean,f12_vel_std,f13_vel_range,f14_loud_note_ratio,f15_soft_note_ratio,f16_dur_mean,f17_dur_std,f18_dur_max,f19_ioi_mean,f20_ioi_std,f21_note_density,f22_staccato_ratio,f23_legato_ratio,f24_interval_mean,f25_interval_std,f26_interval_max,f27_unison_ratio,f28_stepwise_ratio,f29_leap_ratio,f30_octave_leap_ratio,f31_pitch_skew,f32_pitch_kurt,f33_dur_skew,f34_ioi_skew,f35_pc_0_ratio,f36_pc_1_ratio,f37_pc_2_ratio,f38_pc_3_ratio,f39_pc_4_ratio,f40_pc_5_ratio,f41_pc_6_ratio,f42_pc_7_ratio,f43_pc_8_ratio,f44_pc_9_ratio,f45_pc_10_ratio,f46_pc_11_ratio,f47_simultaneity_mean,f48_simultaneity_max,f49_single_note_ratio,f50_thick_chord_ratio,f51_offbeat_ratio,f52_minor3rd_ratio,f53_major3rd_ratio,f54_perfect4th_ratio,f55_tritone_ratio,f56_perfect5th_ratio,f57_minor6th_ratio,f58_major6th_ratio,f59_minor7th_ratio,f60_major7th_ratio,filename,composer
513,64.27290448343079,13.920394211184366,69,57,12,3.2018495572739205,0.1793372319688109,0.3255360623781676,0.1481481481481481,71.28265107212475,13.37129213653888,51,0.3118908382066276,0.0,1.1003898635477585,0.743769776365734,4.0,0.251953125,0.3997496563266689,3.976713358811172,0.0038986354775828,0.2124756335282651,10.78125,10.402401690835632,57,0.13671875,0.068359375,0.662109375,0.1171875,-0.7704019793428811,-0.0726740682470863,1.9145652676833835,2.6196713886663905,0.0311890838206627,0.1228070175438596,0.0175438596491228,0.1481481481481481,0.1130604288499025,0.0350877192982456,0.1793372319688109,0.0097465886939571,0.1130604288499025,0.0331384015594541,0.0428849902534113,0.1539961013645224,2.728723404255319,8,0.3404255319148936,0.2606382978723404,0.1929824561403508,0.09375,0.0390625,0.03515625,0.0234375,0.05078125,0.025390625,0.0859375,0.029296875,0.01171875,lc4904021.mxl,Johannes Brahms
924,65.47943722943722,7.669344251090236,50,35,11,3.110830136442736,0.2121212121212121,0.1147186147186147,0.0432900432900432,65.96861471861472,25.42649387394353,81,0.4253246753246753,0.0,0.5506854256854258,0.5658598250798877,7.5,0.1446370530877573,0.2295817638456615,6.9212964696893655,0.6428571428571429,0.0021645021645021,6.541711809317444,5.544769439958548,48,0.0650054171180931,0.1083423618634886,0.6023835319609967,0.0552546045503792,-1.1814864962601204,2.115861794022467,4.69445042615626,8.948122112793996,0.106060606060606,0.0129870129870129,0.0681818181818181,0.2023809523809523,0.0,0.079004329004329,0.0378787878787878,0.1374458874458874,0.0703463203463203,0.0411255411255411,0.2121212121212121,0.0324675324675324,1.9659574468085104,7,0.5340425531914894,0.1404255319148936,0.6601731601731602,0.1419284940411701,0.0823401950162513,0.1321776814734561,0.056338028169014,0.1126760563380281,0.0509209100758396,0.0682556879739978,0.0303358613217768,0.0162513542795232,lc4919879.mxl,Franz Schubert
591,62.96615905245347,10.533109765001598,51,47,12,3.199424908748828,0.1962774957698815,0.182741116751269,0.0879864636209813,79.49746192893402,21.236073218486897,63,0.4433164128595601,0.0,0.3887478849407783,0.1956492659162403,1.5,0.135593220338983,0.1311781191246735,7.387407657404282,0.5651438240270727,0.0,12.983050847457626,9.57679314611714,45,0.0101694915254237,0.0525423728813559,0.788135593220339,0.0728813559322033,-0.4981651369244728,-0.4076773935471394,1.9144636672495456,0.393688184129302,0.1099830795262267,0.027072758037225,0.1133671742808798,0.0186125211505922,0.1962774957698815,0.0896785109983079,0.038917089678511,0.0575296108291032,0.0490693739424703,0.1692047377326565,0.0033840947546531,0.1269035532994923,1.870253164556962,6,0.4177215189873418,0.060126582278481,0.6463620981387479,0.0881355932203389,0.0610169491525423,0.0525423728813559,0.0694915254237288,0.0491525423728813,0.0271186440677966,0.0847457627118644,0.0169491525423728,0.0033898305084745,lc4926375.mxl,Johannes Brahms
1250,60.2576,12.454751793592678,66,60,12,3.3841738646146897,0.1808,0.156,0.1648,88.8864,20.748163654646643,64,0.696,0.0,0.5796666666666667,0.3474236926610248,2.0,0.1629303442754203,0.1980058206113101,6.142475958349099,0.2816,0.004,12.76461168935148,10.150934432120604,53,0.088871096877502,0.0200160128102481,0.7574059247397918,0.1721377101681345,-0.4379282424664938,-0.4381096499346473,1.6388287380559206,1.0126387822295966,0.1808,0.0752,0.0352,0.052,0.12,0.1504,0.0408,0.0928,0.0968,0.0416,0.0752,0.0392,2.1404109589041096,7,0.3818493150684932,0.1113013698630137,0.6584,0.0800640512409927,0.0536429143314651,0.055244195356285,0.0240192153722978,0.0456365092073658,0.0416333066453162,0.0416333066453162,0.0080064051240992,0.0056044835868694,lc4946175.mxl,Johannes Brahms
687,62.81950509461426,8.258524653313799,43,35,12,3.257841456722157,0.1804949053857351,0.1688500727802037,0.0363901018922852,100.42794759825328,16.63033230444317,63,0.9941775836972344,0.0,0.8922852983988355,0.5996470481543973,6.0,0.1938775510204081,0.2436191099247616,5.165374696430853,0.0,0.0465793304221251,9.314868804664725,5.881233228080598,32,0.0204081632653061,0.0481049562682215,0.7332361516034985,0.1472303206997084,-0.2147734339079451,-0.6588862268774576,5.270256657412853,0.460739299120865,0.0145560407569141,0.1804949053857351,0.0145560407569141,0.1018922852983988,0.106259097525473,0.032023289665211,0.1644832605531295,0.0393013100436681,0.0786026200873362,0.0378457059679767,0.1077147016011644,0.1222707423580786,2.5730337078651684,6,0.4868913857677903,0.3558052434456928,0.2081513828238719,0.1239067055393586,0.0743440233236151,0.0787172011661807,0.0393586005830903,0.0787172011661807,0.0481049562682215,0.0655976676384839,0.0145772594752186,0.0029154518950437,lc4946239.mxl,Johannes Brahms
265,66.8188679245283,5.578701296212891,24,18,11,2.824756899137862,0.260377358490566,0.2377358490566037,0.0,67.6188679245283,16.54342549233054,51,0.2754716981132075,0.0,0.5827044025157232,0.3720440769878053,2.5,0.1344696969696969,0.239169378278175,7.464578462578519,0.2867924528301886,0.0188679245283018,6.590909090909091,4.89658901910693,23,0.0909090909090909,0.0984848484848484,0.5795454545454546,0.0606060606060606,-0.7517807138871476,-0.1411766412237036,2.1781239616471675,2.1502098100641587,0.0,0.260377358490566,0.0716981132075471,0.0037735849056603,0.1698113207547169,0.0113207547169811,0.0490566037735849,0.030188679245283,0.0641509433962264,0.2188679245283019,0.0075471698113207,0.1132075471698113,3.1547619047619047,6,0.2261904761904762,0.4523809523809524,0.720754716981132,0.0984848484848484,0.1325757575757575,0.0833333333333333,0.0378787878787878,0.1098484848484848,0.0719696969696969,0.0795454545454545,0.0075757575757575,0.0151515151515151,lc4976769.mxl,Robert Schumann
391,62.72378516624041,9.169638659213744,43,27,10,2.9042332112775235,0.1867007672634271,0.1329923273657289,0.0920716112531969,95.43222506393862,5.220448179257503,15,1.0,0.0,0.3305626598465473,0.2012574042089767,1.75,0.1083333333333333,0.139692121785335,9.25421883505716,0.7928388746803069,0.0,8.556410256410256,6.708253426698926,31,0.0589743589743589,0.0666666666666666,0.6102564102564103,0.0564102564102564,-1.050880327764699,0.6750245535311059,3.7351729767914734,1.3663983151202272,0.0127877237851662,0.1278772378516624,0.1867007672634271,0.0025575447570332,0.1099744245524296,0.0,0.1381074168797953,0.1329923273657289,0.0076726342710997,0.1739130434782608,0.0,0.1074168797953964,2.4135802469135803,5,0.1481481481481481,0.1543209876543209,0.639386189258312,0.1,0.1641025641025641,0.041025641025641,0.0435897435897435,0.0897435897435897,0.0512820512820512,0.0564102564102564,0.0435897435897435,0.0076923076923076,lc4976849.mxl,Robert Schumann
429,65.35198135198135,8.47178930468424,41,32,12,2.947500595378498,0.2307692307692307,0.1655011655011655,0.0489510489510489,85.38461538461539,24.791698102028853,82,0.5734265734265734,0.0,0.7907925407925408,0.7026193592221072,3.0,0.1401869158878504,0.2623749593007273,7.149880835319411,0.1258741258741259,0.0862470862470862,7.719626168224299,5.962569214353049,28,0.0911214953271028,0.0630841121495327,0.6448598130841121,0.0911214953271028,-0.5063160200237675,0.0639176468410016,2.346756919684366,2.0525094527426573,0.1375291375291375,0.0023310023310023,0.1025641025641025,0.0069930069930069,0.1445221445221445,0.0559440559440559,0.0256410256410256,0.2307692307692307,0.0139860139860139,0.1072261072261072,0.0023310023310023,0.1701631701631701,3.730434782608696,7,0.3130434782608696,0.591304347826087,0.4009324009324009,0.1355140186915887,0.0654205607476635,0.0981308411214953,0.0046728971962616,0.1214953271028037,0.0747663551401869,0.0700934579439252,0.014018691588785,0.0046728971962616,lc4978368.mxl,Robert Schumann
612,61.77124183006536,9.178510517540587,39,35,12,2.9246301883024493,0.2222222222222222,0.1617647058823529,0.0686274509803921,72.32352941176471,20.692738976916083,45,0.5620915032679739,0.0,0.318218954248366,0.203145305729335,1.75,0.0724222585924713,0.1184055860156083,13.830195927775645,0.8349673202614379,0.0,8.057283142389526,7.447030086090457,28,0.1718494271685761,0.0392798690671031,0.5973813420621932,0.0621931260229132,-0.0993517042756162,-1.0375331979959708,4.647269582451265,3.4666420124649053,0.0032679738562091,0.1094771241830065,0.1911764705882352,0.0049019607843137,0.1405228758169934,0.0081699346405228,0.1470588235294117,0.0800653594771241,0.0016339869281045,0.0359477124183006,0.0555555555555555,0.2222222222222222,2.8465116279069766,6,0.3813953488372093,0.4465116279069767,0.7875816993464052,0.1063829787234042,0.0851063829787234,0.0752864157119476,0.0310965630114566,0.0654664484451718,0.044189852700491,0.0769230769230769,0.0474631751227495,0.0098199672667757,lc4978373.mxl,Robert Schumann
700,57.54714285714286,11.677783809177043,48,44,12,3.203164508761737,0.1614285714285714,0.0485714285714285,0.2314285714285714,84.75571428571429,20.147074482516853,63,0.6114285714285714,0.0,1.3478571428571429,0.9640293309959028,4.5,0.3326180257510729,0.5552987171374263,3.010739738753812,0.0114285714285714,0.2114285714285714,10.831187410586551,8.44675997634149,39,0.0701001430615164,0.0801144492131616,0.7110157367668097,0.217453505007153,-0.4737934642534314,-0.7394813694824536,1.1351314304433444,1.9366092380468125,0.1428571428571428,0.0085714285714285,0.0814285714285714,0.0214285714285714,0.1457142857142857,0.0385714285714285,0.0771428571428571,0.13,0.0314285714285714,0.1471428571428571,0.0142857142857142,0.1614285714285714,2.7777777777777777,6,0.2777777777777778,0.3452380952380952,0.5371428571428571,0.0829756795422031,0.055793991416309,0.0515021459227467,0.0300429184549356,0.0371959942775393,0.0286123032904148,0.0400572246065808,0.0185979971387696,0.0143061516452074,lc4978379.mxl,Robert Schumann
