filename,composer,tt_mean,tt_std,tt_entropy,hc_mean,hc_std,hc_entropy,pt_mean,pt_std,pt_entropy,mc_mean,mc_std,mc_entropy
lc4904021.mxl,Johannes Brahms,0.4239117789352516,0.3170785922954617,4.501878377405364,0.3438582216287468,0.178330301910183,4.6744456474339895,1.5757575757575757,1.5404702751118613,5.037344062268435,-0.0606060606060606,1.042706092974864,4.709589805272419
lc4919879.mxl,Franz Schubert,0.5008876147498905,0.3248658057469563,5.176524369659087,0.3841857391315337,0.1241820149149504,5.432907911849575,3.0365853658536586,1.7837007429144742,5.302826414539753,0.1626016260162601,0.7637517978884527,5.419267152943417
lc4926375.mxl,Johannes Brahms,0.6803745013073205,0.1878164192972692,4.361880443446847,0.2436357708410417,0.1323310371668263,4.184554715849933,2.774390243902439,1.4199202120842234,4.959836614637908,-0.0963855421686747,1.0711378684767647,4.214655750022693
lc4946175.mxl,Johannes Brahms,0.5403521385702897,0.3092960121487648,5.092371338304698,0.2453309292376727,0.1870094673549951,4.910335594579268,2.315403422982885,1.1104229006009343,5.8945640043022856,-0.1219512195121951,0.9876091344750274,5.146125182264079
lc4946239.mxl,Johannes Brahms,0.7001249984327385,0.1988981497794056,4.861106767768183,0.4145425467081772,0.0682043024741683,4.838646707171724,2.217391304347826,1.4483330269747476,5.400575276866062,-0.0652173913043478,1.0014954162067091,4.781682448855959
lc4976769.mxl,Robert Schumann,0.7941207741656731,0.1560763461422266,3.52165433271186,0.43336711903691,0.1083580813828076,3.5096887113716817,2.647058823529412,2.35624767674938,3.7158806398528954,-0.3142857142857143,0.9187391537607728,3.3606640718190137
lc4976849.mxl,Robert Schumann,0.6872056836491193,0.1886514520565728,3.733742022759628,0.2164136677748294,0.1561970601743619,3.404897667122992,2.67816091954023,2.0426163798555828,4.150806437529268,-0.3181818181818182,0.9480297097551914,3.6201016451006014
lc4978368.mxl,Robert Schumann,0.5802952609622847,0.3224007937760322,3.888744523640765,0.4309303993532153,0.0803835217341007,4.118175818316737,2.912698412698413,2.83968431419466,4.246872647590984,0.0,0.8908708063747479,4.026046696079118
lc4978373.mxl,Robert Schumann,0.7591054432537528,0.1998933861154814,3.74967929175179,0.2946572804746652,0.1056259222397047,3.711908748806744,5.348314606741573,1.4541774275893016,4.430259286672466,-0.2444444444444444,0.8207193472275284,3.656258958362629
lc4978379.mxl,Robert Schumann,0.2968594840669357,0.3508412357817473,4.636533809616839,0.2916682759616356,0.1455576355227638,5.27252475954609,1.0881720430107529,1.431883447407764,5.267462332711056,-0.0901287553648068,0.632140909406125,5.380677192124131
lc4978382.mxl,Robert Schumann,0.7581921042708402,0.0912162322595648,4.904117131776635,0.4616098339702288,0.0848017454070528,4.928215071070976,3.648936170212766,1.0004337372322192,5.601086225471838,0.0354609929078014,0.811367355805679,4.852183929322403
lc4978387.mxl,Robert Schumann,0.7307166199443559,0.2294936722298695,4.245268379014753,0.2775810843489807,0.1288380313028505,4.157072406370633,6.691275167785235,2.5590983333954536,4.9158037597052,-0.2933333333333333,0.761985709985576,4.20055984418723
lc4978390.mxl,Robert Schumann,0.6482761174818462,0.2260011510794812,5.442780328812049,0.3896262191964323,0.1591221960475645,5.422518410511127,4.761904761904762,2.5242587201330613,5.398524628019503,0.0158730158730158,0.5702147602122558,5.483063520770772
lc4978393.mxl,Robert Schumann,0.4891710821443187,0.3608379923988553,4.114039424571733,0.1909339990984173,0.1556396203703965,4.052273636088838,2.075675675675676,1.5784709339763996,4.941571423321288,-0.1612903225806451,0.8070965163352776,4.389701116262642
lc4978395.mxl,Robert Schumann,0.4595021975753907,0.3638601974711783,4.7278915919828055,0.2511201483255822,0.1603062759735229,4.865627594995701,2.288135593220339,1.2806801793295128,5.004956073495675,0.0338983050847457,0.6368913297646079,5.116809097855011
lc4978396.mxl,Robert Schumann,0.1826891733729997,0.3168231760276702,4.063640196275967,0.173241738759044,0.2150171902607868,4.511799127746045,1.222707423580786,2.085133404879832,4.088882318662966,0.0262008733624454,0.5754921750056096,5.389912598289463
lc4978397.mxl,Robert Schumann,0.4715625195816963,0.3527680782746837,3.942468265485168,0.4188498862749753,0.1484410866341449,4.264341819477305,2.732484076433121,2.289221951114873,4.572297444679199,-0.1645569620253164,1.0957961067255264,4.132866131121627
lc4978398.mxl,Robert Schumann,0.3170500864739246,0.3640086917066517,5.713415712622886,0.3751516200402369,0.1577673157627522,6.375248148667678,2.3705882352941177,2.6998398004505537,5.772651555361379,0.038235294117647,0.6849279506472594,6.449780542770669
lc4978400.mxl,Robert Schumann,0.4866457084662949,0.3268831964451805,5.369517749539407,0.3508095488327573,0.1878373532065531,5.463217960308956,2.371186440677966,1.91590584385768,6.00274312578776,-0.111864406779661,0.7440349786206886,5.575529584739412
lc4978468.mxl,Robert Schumann,0.6153371276167845,0.2810420268581514,4.515961684767139,0.4202731472261279,0.1498165893397696,4.573008902290828,2.087962962962963,2.065287066074575,4.744632188168709,0.0092592592592592,0.7875815110122508,4.595558596255032
lc4978478.mxl,Robert Schumann,0.6961017643590081,0.1716440988878265,5.60375107577425,0.4540466928086595,0.1030759239375167,5.615532722595304,3.514084507042253,1.185213568993439,6.277219658280561,0.1338028169014084,1.001610486542862,5.505380999309333
lc4978485.mxl,Robert Schumann,0.2650078745230955,0.3500144605894253,4.55986072549908,0.3862404521142385,0.1869701409308854,5.358480147772176,1.7722007722007722,2.3212630079266146,4.602218299335672,-0.0193050193050193,0.7270384069546545,5.47510653505795
lc4978488.mxl,Robert Schumann,0.6010761312820675,0.2919901708662181,4.98828259391608,0.3710791798759457,0.1269105054817938,5.097492026307799,2.621468926553672,1.6132194327802951,5.675648238097045,0.0338983050847457,1.0409594937480735,5.001493018065718
lc4978491.mxl,Robert Schumann,0.6300946136861385,0.2675304048655425,5.201210744752508,0.3355890173950129,0.1545777028189582,5.178701224504183,2.3725961538461537,1.3221918684170932,5.838129399611411,0.0817307692307692,1.0552309647907678,5.184129428208974
lc4978492.mxl,Johannes Brahms,0.7300959153777046,0.1690833616407815,5.378715764366023,0.3820902401772629,0.1213760366505237,5.349702655715763,3.735555555555556,2.204808437691035,5.926770876673569,-0.0977777777777777,1.1428014095757824,5.175113345355575
lc4978494.mxl,Robert Schumann,0.5319872954697004,0.3353586084801679,5.122367780866044,0.4614731364646066,0.1139692645930046,5.407149306179305,1.980603448275862,2.0713696072027514,5.43858441560281,0.1767241379310344,0.8087727781390393,5.374131383945262
lc4978496.mxl,Robert Schumann,0.4355312874868734,0.3417901698243715,5.071584156469466,0.3454053412834079,0.1726202716869018,5.3234858335762905,2.9959349593495936,2.273026647910485,5.152229312859033,-0.032520325203252,0.8735960569537259,5.376039106506489
lc4978501.mxl,Robert Schumann,0.450927593323801,0.3575067893242746,4.552148631834992,0.4206680769991189,0.1469907836239043,4.919912551067125,1.5165562913907285,2.0854408736667067,4.693848907576896,0.0331125827814569,0.5569217494471163,4.971456345505781
lc4978506.mxl,Franz Schubert,0.6680520555827625,0.2159314746412524,6.427832902714344,0.2636307504866048,0.1439616590198386,6.280409205004297,2.247005988023952,0.7554631485561815,7.14314489272275,-0.0538922155688622,1.1774197153043202,6.257214636680134
lc4981984.mxl,Franz Schubert,0.6461190591869228,0.306851532067532,4.708364262170053,0.4164373522906166,0.1871911655352615,4.73137581097599,2.8470149253731343,2.9325296068922517,4.927967900994874,-0.0895522388059701,1.0752485763777837,4.724003238993948
lc4982465.mxl,Franz Schubert,0.6109790866070356,0.2755930866534229,5.157973781295309,0.3222398222846444,0.1435718586093325,5.171808708698622,3.147058823529412,1.817113951899234,5.126638514659172,-0.0196078431372549,0.9849892221652086,5.1528113854474125
lc4982491.mxl,Franz Schubert,0.6562218522101262,0.261936084492324,4.988508383223499,0.3713984221802401,0.112546235084968,5.0512326175906175,2.5225225225225225,1.99780741757582,5.395351267508085,-0.1077844311377245,0.9728650208223372,4.952834081333601
lc4982505.mxl,Franz Schubert,0.3304365590478963,0.3633920220955225,5.2664700553601325,0.3625326600154261,0.1758417316468072,5.818021258192177,1.1519607843137254,1.9676167724351232,5.431694289579487,-0.0588235294117647,0.9243283667844696,5.86036480898775
lc4982535.mxl,Franz Schubert,0.7505947954499772,0.1558025090360057,5.061159005215735,0.3367848396842303,0.1112407397989924,5.008965675773704,3.799382716049383,0.5269287807172603,5.7662404686009445,-0.1172839506172839,1.1620851973034507,4.840588125864628
lc4985922.mxl,Franz Schubert,0.5889355325364655,0.2816109535432711,5.413642408640193,0.3767247401367035,0.1251903574428002,5.521650170637834,2.5205992509363297,1.3747818405343843,5.391055286009353,0.0449438202247191,1.2974487702605348,5.333866131340527
lc4985924.mxl,Franz Schubert,0.4173848488318377,0.3758504572226923,5.723348625161965,0.3010868088243529,0.1891196787394809,5.986192869965275,2.352059925093633,2.00084847829942,5.834217715408848,-0.0355805243445692,0.9946711669728924,6.121572349925662
lc4985925.mxl,Franz Schubert,0.7953694275819958,0.1112094299403558,4.385661286965522,0.3011054389311201,0.1169365178099866,4.311414583467159,2.8181818181818183,1.0575714161584937,5.034312447546887,-0.253012048192771,1.1390481493781677,4.14223987141617
lc4985927.mxl,Franz Schubert,0.5591782740041751,0.3213672924104339,5.001289767600481,0.3179923001166414,0.1578870010281741,5.057872607571604,2.348958333333333,0.9618227911612524,5.147539389037439,0.0572916666666666,1.0061524064129428,5.102603111913132
lc4985930.mxl,Franz Schubert,0.641043337210721,0.2596064925670789,4.830565378687665,0.3594303915423607,0.1522352312822247,4.816141596653758,2.5454545454545454,2.1458278684323395,5.25397417707507,0.1538461538461538,1.0330733042024831,4.827350184091369
lc4985931.mxl,Franz Schubert,0.6820295698768815,0.1543973894083486,4.5794340145852885,0.4364354653163476,0.0755065133160539,4.555807125143589,2.6633663366336635,2.317720063238881,4.845377406787155,-0.0891089108910891,1.0157084042164088,4.4247244067371
lc4985932.mxl,Franz Schubert,0.4701383682881525,0.3815832443898297,4.356858987706496,0.3407601853462464,0.1421387971641091,4.717812288852143,1.746031746031746,1.391222529280027,4.520432386532425,-0.0873015873015873,1.0314102017544693,4.656359216565416
lc4985934.mxl,Franz Schubert,0.6623427833511565,0.2043575751297749,4.778131099772832,0.3235129191158926,0.1509693078864888,4.680420958812945,4.62890625,3.1035174687297857,5.327151932336456,0.171875,1.305692913504167,4.623883097767152
lc4985935.mxl,Franz Schubert,0.5510556670698402,0.2616891212958889,3.78264341194067,0.3855168489340675,0.1210568430123298,3.882530682572755,3.6538461538461537,2.755306875164972,4.395047898820712,-0.0192307692307692,0.909149742582524,3.82539780703339
lc4985937.mxl,Franz Schubert,0.4406007206201383,0.3406767084887945,5.450807097529287,0.2919155439057697,0.1602336575872227,5.651971210381455,2.463888888888889,1.7332776878532408,5.571850008852461,-0.0444444444444444,0.7840225494363611,5.786756624775177
lc4985938.mxl,Franz Schubert,0.5659680585841127,0.260750991464479,5.875750522227593,0.3492642504317481,0.1096127612348578,5.962810406312356,1.8507281553398056,1.0466309583581428,6.560990213818135,-0.0825242718446602,1.131192959466598,5.80088540593913
lc4985940.mxl,Franz Schubert,0.6734000724098322,0.2498559645545781,3.5803990049011603,0.3708648045578702,0.1480503781587729,3.572258417701562,2.9,1.9209372712298547,4.06168436036314,0.125,1.1442792491345808,3.512699720313453
lc4985946.mxl,Franz Schubert,0.5742888029221478,0.3457256942099702,5.489659707706457,0.4435880855768337,0.1043073968728241,5.741499228881629,1.5771604938271604,2.05185175899927,5.558121689663043,-0.0432098765432098,0.9450897496873948,5.637396736472105
lc4985949.mxl,Franz Schubert,0.737883507660339,0.1555274409090614,4.704665293526022,0.4107206106448083,0.0801490743960498,4.71168371344433,3.258771929824561,2.8667271944908044,4.973640903144519,0.2894736842105263,1.0819385153796244,4.601530432294723
lc4985951.mxl,Franz Schubert,0.7437227396598696,0.1482685681676298,4.404895686378888,0.3283405491648316,0.139947744416038,4.304405044017899,3.869047619047619,2.428892369082988,4.9048115454927705,0.0357142857142857,1.0628625831914016,4.266109224158854
lc4985962.mxl,Franz Schubert,0.704366102939132,0.1697695801446061,6.001110155621594,0.3709760732123106,0.1272768747423291,5.94896945467273,2.523809523809524,1.5520814785634718,6.547976022933391,0.0595238095238095,0.9122341814545532,5.923057714111414
lc4985964.mxl,Franz Schubert,0.262187005410674,0.3335144075320052,4.312870553844969,0.3799428351953483,0.1139625888612968,5.189839336794344,0.9417989417989416,2.052691855529099,4.208338766797971,0.0264550264550264,0.7930509196797476,5.14981420711986
lc4985965.mxl,Franz Schubert,0.5211928130710838,0.3175659286284077,4.897245702820225,0.3962153728169045,0.0927458389773019,4.893334285688036,2.158333333333333,2.6551705322927104,5.0955690090391705,-0.0777777777777777,0.915639154759338,5.064085305897345
lc4985973.mxl,Franz Schubert,0.5532556758880046,0.3651429248189203,4.451005943580892,0.3469373981733206,0.1875702320680457,4.55149932198605,3.175,3.1653396342256856,4.900603408455706,-0.05,0.7942501704962569,4.685825735888969
